raw_tweet,month,label,created_at,id,retweeted,favorite_count,retweet_count,cleaned_tweet
"RT @atrupar: CABRERA: ""Jason, that just seems disingenuous to say [Trump will] continue to express these messages [when] he has been downpl…",October,Expert,Mon Oct 05 04:32:08 +0000 2020,1.3129738245021368e+18,False,0,392.0,seem disingenuous say trump continue express message
"RT @picardonhealth: Paris to shut bars🍷and raise alert to maximum as France🇫🇷reports 12,565 #coronavirus cases on Sunday via @BBCNews ⁦@dra…",October,Expert,Mon Oct 05 04:53:24 +0000 2020,1.3129791784851535e+18,False,0,115.0,shut raise alert maximum case via
"RT @jeremyfaust: Conley said “low grade fever” before. 

Now says was “high fever.”

He said no oxygen was given Friday. 

Today he says he…",October,Expert,Mon Oct 05 04:57:50 +0000 2020,1.3129802943168102e+18,False,0,1851.0,say low grade fever say high say oxygen give say
RT @DrTomFrieden: I hope that this pandemic will show us we're all connected. Our fates are bound together. The more we can find diseases w…,October,Expert,Mon Oct 05 04:59:46 +0000 2020,1.3129807796858716e+18,False,0,395.0,hope pandemic show connect fate bind together find disease w
"Thanks @svqjournalist for the opportunity to talk alongside @Bob_Wachter about concerns we have regarding #Trump having #COVID19 and being on #steroids. 

Although I used to work for Stanford Healthcare, I trained at @VCU (Med school) and did Residency/Fellowship @EmoryMedicine https://t.co/dtc5jH7psO",October,Expert,Mon Oct 05 05:58:12 +0000 2020,1.3129954835566428e+18,False,33,14.0,opportunity talk alongside concern regard trump steroid use work train school residency fellowship
RT @juliettekayyem: This narrative — that the President will beat COVID-19 because he is strong and a fighter — is 200000 plus insults. Tho…,October,Expert,Mon Oct 05 05:58:45 +0000 2020,1.3129956237092045e+18,False,0,29578.0,narrative president beat strong fighter plus insult tho
"RT @BNODesk: Russia reports 10,499 new coronavirus cases, the biggest one-day increase since May 15, and 107 new deaths",October,Expert,Mon Oct 05 05:58:56 +0000 2020,1.3129956705723105e+18,False,0,191.0,russia report new case big one day increase since may new death
"Thanks to @BBCWorld @BBCRadioWales for having me on this morning. We covered a lot regarding #Trump and his #COVID19 diagnosis. Tune in to hear my thoughts on 
- His photo op outside Walter Reed
- How sick he likely is
- what to make of the therapeutics he has received",October,Expert,Mon Oct 05 06:26:25 +0000 2020,1.3130025843288064e+18,False,15,2.0,morning cover lot regard trump diagnosis tune hear thought photo outside walter sick likely make therapeutic receive
"RT @JimC_HRH: It's #WorldTeachersDay.  Amid the #COVID19 crisis, teachers are essential to ensure that back to school policies and procedur…",October,Expert,Mon Oct 05 08:26:18 +0000 2020,1.3130327557149696e+18,False,0,23.0,amid crisis teacher essential ensure back school policy
"RT @takeshi_kasai: #Cambodia has great lessons from the #COVID19 pandemic to share with all of us: 
1⃣ Health workers need good information…",October,Expert,Mon Oct 05 08:26:55 +0000 2020,1.3130329109713265e+18,False,0,19.0,great lesson pandemic share health worker need good information
